TeamID,TeamName,Rating
1101,Abilene Chr,68.73
1102,Air Force,97.54
1103,Akron,86.6
1104,Alabama,79.93
1105,Alabama A&M,57.8
1106,Alabama St,57.8
1107,SUNY Albany,52.9
1108,Alcorn St,93.31
1110,American Univ,80.06
1111,Appalachian St,85.4
1112,Arizona,51.03
1113,Arizona St,98.5
1114,Ark Little Rock,91.62
1115,Ark Pine Bluff,60.62
1116,Arkansas,59.09
1117,Arkansas St,59.17
1119,Army,65.21
1120,Auburn,76.24
1122,Austin Peay,71.6
1123,Ball St,64.56
1124,Baylor,80.59
1125,Belmont,56.97
1126,Bethune-Cookman,64.61
1127,Binghamton,68.32
1129,Boise St,72.8
1130,Boston College,89.26
1131,Boston Univ,59.98
1132,Bowling Green,75.71
1133,Bradley,79.62
1135,Brown,52.32
1136,Bryant,80.38
1137,Bucknell,58.53
1138,Buffalo,53.25
1139,Butler,97.44
1140,BYU,98.28
1141,C Michigan,90.42
1142,Cal Poly,65.23
1143,California,54.88
1144,Campbell,84.21
1145,Canisius,72.01
1146,Cent Arkansas,56.1
1148,Central Conn,74.76
1149,Charleston So,51.72
1150,Charlotte,95.47
1151,Chattanooga,62.94
1152,Chicago St,83.13
1153,Cincinnati,65.59
1154,Citadel,76.0
1155,Clemson,77.34
1156,Cleveland St,59.24
1157,Coastal Car,98.48
1158,Col Charleston,88.76
1159,Colgate,96.97
1160,Colorado,94.74
1161,Colorado St,79.89
1162,Columbia,96.09
1163,Connecticut,54.42
1164,Coppin St,59.8
1165,Cornell,52.26
1166,Creighton,66.27
1167,CS Bakersfield,69.43
1168,CS Fullerton,63.57
1169,CS Northridge,91.44
1170,CS Sacramento,67.84
1171,Dartmouth,64.05
1172,Davidson,77.13
1173,Dayton,57.05
1174,Delaware,90.11
1175,Delaware St,53.73
1176,Denver,99.34
1177,DePaul,88.61
1178,Detroit,59.94
1179,Drake,50.28
1180,Drexel,90.77
1181,Duke,85.34
1182,Duquesne,86.45
1183,E Illinois,88.56
1184,E Kentucky,53.7
1185,E Michigan,67.92
1186,E Washington,55.79
1187,East Carolina,93.16
1188,SIUE,81.16
1189,Elon,66.54
1190,ETSU,53.18
1191,Evansville,65.55
1192,F Dickinson,66.26
1193,Fairfield,86.48
1194,FL Atlantic,81.88
1195,FGCU,94.36
1196,Florida,73.61
1197,Florida A&M,55.98
1198,Florida Intl,85.66
1199,Florida St,88.04
1200,Fordham,78.06
1201,Fresno St,88.55
1202,Furman,74.69
1203,G Washington,76.14
1204,Ga Southern,71.38
1205,Gardner Webb,51.27
1206,George Mason,55.39
1207,Georgetown,51.57
1208,Georgia,81.82
1209,Georgia St,65.72
