Season,DayNum,team_1_id,team_1_name,team_1_games_played,team_1_wins,team_1_losses,team_1_points_scored,team_1_points_allowed,team_2_id,team_2_name,team_2_games_played,team_2_wins,team_2_losses,team_2_points_scored,team_2_points_allowed,is_neutral,team_1_won
2007,8,1268,Maryland,0,0,0,0,0,1214,Hampton,0,0,0,0,0,0,1
2007,8,1309,New Orleans,0,0,0,0,0,1436,Vermont,0,0,0,0,0,1,0
2007,9,1214,Hampton,1,0,1,75,102,1309,New Orleans,1,0,1,65,82,1,1
2007,9,1268,Maryland,1,1,0,102,75,1436,Vermont,1,1,0,82,65,0,1
2007,9,1277,Michigan St,0,0,0,0,0,1135,Brown,0,0,0,0,0,0,1
2007,9,1141,C Michigan,0,0,0,0,0,1464,Youngstown St,0,0,0,0,0,1,0
2007,10,1152,Chicago St,0,0,0,0,0,1382,St Bonaventure,0,0,0,0,0,1,1
2007,10,1277,Michigan St,1,1,0,45,34,1464,Youngstown St,1,1,0,74,50,0,1
2007,10,1135,Brown,1,0,1,34,45,1141,C Michigan,1,0,1,50,74,1,0
2007,10,1400,Texas,0,0,0,0,0,1108,Alcorn St,0,0,0,0,0,0,1
2007,11,1301,NC State,0,0,0,0,0,1459,Wofford,0,0,0,0,0,0,1
2007,11,1322,Northwestern LA,0,0,0,0,0,1429,Utah St,0,0,0,0,0,0,1
2007,11,1323,Notre Dame,0,0,0,0,0,1236,PFW,0,0,0,0,0,0,1
2007,11,1328,Oklahoma,0,0,0,0,0,1313,Norfolk St,0,0,0,0,0,0,1
2007,11,1329,Oklahoma St,0,0,0,0,0,1194,FL Atlantic,0,0,0,0,0,0,1
2007,11,1330,Old Dominion,0,0,0,0,0,1284,Monmouth NJ,0,0,0,0,0,0,1
2007,11,1428,Utah,0,0,0,0,0,1381,Southern Utah,0,0,0,0,0,0,0
2007,11,1376,South Carolina,0,0,0,0,0,1354,S Carolina St,0,0,0,0,0,0,1
